"query","search interest","increase percent"
"the blur",100,"60%"
"blur background",68,"-6%"
"background blur",66,"-3%"
"blur photo",40,"20%"
"photo blur",38,"10%"
"motion blur",37,"20%"
"blur video",35,"40%"
"blur image",26,"7%"
"image blur",25,"6%"
"face blur",20,"40%"
"blur face",20,"40%"
"blur picture",16,"-6%"
"blur effect",16,"50%"
"blur background iphone",13,"1%"
"remove blur",12,"10%"
"blur photo background",12,"6%"
"blur primer",11,"50%"
"capcut",11,"30%"
"zoom",10,"-20%"
"how to blur a photo",10,"20%"
"easy blur",9,"30%"
"blur tool",9,"20%"
"blur meaning",9,"50%"
"blur game",9,"100%"
"blur background zoom",8,"-30%"
"zoom blur background",7,"-30%"
"how to blur background on iphone",6,"9%"
"blur background of photo",6,"20%"
"how to blur a picture",6,"-30%"
"blur band",6,"20%"
"huda beauty",6,"30%"
"gaussian blur",5,"20%"
"song 2 blur",5,"5%"
"blur song 2",5,"5%"
"how to blur photo on iphone",5,"30%"
"blur images",5,"30%"
"under armour blur",5,"110%"
"under armour",5,"110%"
"easy blur foundation",4,"20%"
"blur background teams",4,"-9%"
"blur studio",4,"60%"
"navy blur",4,"30%"
"how to blur in photoshop",4,"-7%"
"blur bar",4,"90%"
"blur definition",4,"100%"
"santa cruz blur",4,"5%"
"tarte bb blur",3,"30%"
"how to blur a photo on iphone",3,"40%"
"how to blur an image",3,"4%"
"gorillaz",3,"60%"
